Unnamed: 0,time,load_consumption,temperature,pressure,dew_point,heat_index,humidity,solar_irradiance,uv_index,wind_chill
0,2022-09-06 15:30:00,21553.9,26.4,101558.3,16.6,26.3,47.3,157.1,0.6,26.4
1,2022-09-06 15:35:00,24059,26.2,101557.4,16.6,26.1,48.1,124.1,0.5,26.2
2,2022-09-06 15:40:00,24724.7,26,101555.5,16.6,26,48.7,108.4,0.4,26
3,2022-09-06 15:45:00,25319.3,25.9,101554,16.6,25.9,49.1,112.3,0.4,25.9
4,2022-09-06 15:50:00,23143.4,25.9,101555.8,16.6,25.9,49.4,117.7,0.3,25.9
5,2022-09-06 15:55:00,22588.3,25.8,101556.7,16.7,25.8,49.8,125.5,0.3,25.8
6,2022-09-06 16:00:00,22250.4,25.9,101554.6,16.7,25.9,49.9,99.7,0.2,25.9
7,2022-09-06 16:05:00,23146.4,25.8,101551.3,16.7,25.8,50,91.8,0.2,25.8
8,2022-09-06 16:10:00,22262.8,25.7,101549.5,16.7,25.7,50.5,86,0.2,25.7
9,2022-09-06 16:15:00,22047.3,25.5,101550.4,16.6,25.5,50.9,80.5,0.2,25.5
10,2022-09-06 16:20:00,19552.6,25.3,101551.5,16.5,25.4,51,76.8,0,25.3
11,2022-09-06 16:25:00,22938.1,25.3,101552.4,16.5,25.3,51.1,73.7,0,25.3
12,2022-09-06 16:30:00,22979.3,25.2,101554.2,16.5,25.3,51.5,70.9,0,25.2
13,2022-09-06 16:35:00,23411.1,25.1,101556.2,16.5,25.3,51.6,69,0,25.1
14,2022-09-06 16:40:00,23978.3,25.1,101559.4,16.5,25.2,52,70.8,0,25.1
15,2022-09-06 16:45:00,23821.6,25.1,101559.8,16.6,25.2,52.2,98.3,0,25.1
16,2022-09-06 16:50:00,23129.8,25.1,101556.9,16.6,25.2,51.9,99.1,0,25.1
17,2022-09-06 16:55:00,23449.7,25.1,101555.8,16.6,25.2,51.7,88.1,0,25.1
18,2022-09-06 17:00:00,23325.3,25.2,101555.8,16.7,25.3,51.7,75.3,0,25.2
19,2022-09-06 17:05:00,22259.7,25.2,101555.3,16.6,25.2,51.3,60.9,0,25.2
20,2022-09-06 17:10:00,21502.4,25.2,101555.8,16.7,25.1,51.6,49.9,0,25.2
21,2022-09-06 17:15:00,20862.1,25.1,101557.1,16.7,25,52.2,38.9,0,25.1
22,2022-09-06 17:20:00,22008.9,25,101558,16.8,24.9,52.7,30.3,0,25
23,2022-09-06 17:25:00,22013.5,24.9,101561.4,16.7,24.8,52.7,21.1,0,24.9
24,2022-09-06 17:30:00,21366.1,24.8,101563,16.7,24.8,53.1,11.5,0,24.8
25,2022-09-06 17:35:00,22411.5,24.7,101565,16.7,24.6,53.3,8.9,0,24.7
26,2022-09-06 17:40:00,22361.7,24.6,101565.7,16.6,24.5,53.5,6.3,0,24.6
27,2022-09-06 17:45:00,22355.5,24.4,101568.9,16.4,24.3,53.6,3.4,0,24.4
28,2022-09-06 17:50:00,22793.3,24.2,101571.4,16.6,24.2,55.3,2.8,0,24.2
29,2022-09-06 17:55:00,23523.4,24.1,101575.4,16.5,24,55.5,1.9,0,24.1
30,2022-09-06 18:00:00,25401.2,24,101580.8,16.5,23.9,55.9,1,0,24
31,2022-09-06 18:05:00,25052.5,23.9,101587.2,16.4,23.8,55.9,0,0,23.9
32,2022-09-06 18:10:00,21456.2,23.8,101597.1,16.3,23.7,56.2,0,0,23.8
33,2022-09-06 18:15:00,21577.7,23.7,101605.4,16.4,23.6,56.9,0,0,23.7
34,2022-09-06 18:20:00,21220.1,23.5,101613.6,16.4,23.5,57.3,0,0,23.5
35,2022-09-06 18:25:00,21284.5,23.4,101621.2,16.3,23.3,57.7,0,0,23.4
36,2022-09-06 18:30:00,21503.2,23.3,101630.3,16.2,23.1,57.9,0,0,23.3
37,2022-09-06 18:35:00,21308.8,23.1,101639.3,16.1,23,58.1,0,0,23.1
38,2022-09-06 18:40:00,21081.5,23,101647.4,16.1,22.9,58.3,0,0,23
39,2022-09-06 18:45:00,21351,22.9,101657.8,16,22.7,58.5,0,0,22.9
40,2022-09-06 18:50:00,21701.8,22.8,101668.7,16.1,22.6,59.3,0,0,22.8
41,2022-09-06 18:55:00,24671.8,22.7,101674.5,16,22.5,59.3,0,0,22.7
42,2022-09-06 19:00:00,30190.9,22.6,101677,15.9,22.5,59.3,0,0,22.6
43,2022-09-06 19:05:00,30142.8,22.5,101681.1,15.9,22.4,59.5,0,0,22.5
44,2022-09-06 19:10:00,29388.4,22.4,101685.1,15.9,22.3,60.1,0,0,22.4
45,2022-09-06 19:15:00,30312.6,22.4,101687.2,15.9,22.2,60.5,0,0,22.4
46,2022-09-06 19:20:00,30999.3,22.3,101689.2,16,22.2,61.1,0,0,22.3
47,2022-09-06 19:25:00,30621.5,22.2,101689.9,16,22.1,61.7,0,0,22.2
48,2022-09-06 19:30:00,29897.6,22.1,101688.3,16,22,61.8,0,0,22.1
49,2022-09-06 19:35:00,30743.6,22.1,101685.1,16.1,22,62.3,0,0,22.1
50,2022-09-06 19:40:00,30397.7,22,101686.5,16,21.9,62.3,0,0,22
51,2022-09-06 19:45:00,30970.1,22,101691.7,16,21.9,62.5,0,0,22
52,2022-09-06 19:50:00,31595.6,21.9,101693.9,15.9,21.8,62.5,0,0,21.9
53,2022-09-06 19:55:00,31779.2,21.8,101696.4,15.9,21.7,62.7,0,0,21.8
54,2022-09-06 20:00:00,32535.5,21.8,101700.5,15.9,21.7,62.9,0,0,21.8
